area,País,Año publicación,# Publicaciones
Ciencias Agrícolas,Alemania,1979,2
Ciencias Agrícolas,Alemania,2000,1
Ciencias Agrícolas,Alemania,2010,1
Ciencias Agrícolas,Alemania,2012,2
Ciencias Agrícolas,Alemania,2014,1
Ciencias Agrícolas,Alemania,2017,1
Ciencias Agrícolas,Alemania,2018,1
Ciencias Agrícolas,Alemania,2020,1
Ciencias Agrícolas,Alemania,2021,1
Ciencias Agrícolas,Alemania,2023,2
Ciencias Agrícolas,Alemania,2024,1
Ciencias Agrícolas,Arabia saudita,2022,1
Ciencias Agrícolas,Argentina,2012,1
Ciencias Agrícolas,Argentina,2014,1
Ciencias Agrícolas,Argentina,2020,2
Ciencias Agrícolas,Argentina,2023,1
Ciencias Agrícolas,Australia,2018,1
Ciencias Agrícolas,Australia,2021,1
Ciencias Agrícolas,Bolivia,2005,1
Ciencias Agrícolas,Bolivia,2006,1
Ciencias Agrícolas,Brasil,1977,1
Ciencias Agrícolas,Brasil,1992,1
Ciencias Agrícolas,Brasil,1996,2
Ciencias Agrícolas,Brasil,2001,1
Ciencias Agrícolas,Brasil,2008,1
Ciencias Agrícolas,Brasil,2009,2
Ciencias Agrícolas,Brasil,2011,1
Ciencias Agrícolas,Brasil,2012,3
Ciencias Agrícolas,Brasil,2013,3
Ciencias Agrícolas,Brasil,2014,3
Ciencias Agrícolas,Brasil,2015,1
Ciencias Agrícolas,Brasil,2018,1
Ciencias Agrícolas,Brasil,2019,3
Ciencias Agrícolas,Brasil,2020,9
Ciencias Agrícolas,Brasil,2021,4
Ciencias Agrícolas,Brasil,2022,5
Ciencias Agrícolas,Brasil,2023,9
Ciencias Agrícolas,Brasil,2024,8
Ciencias Agrícolas,Bulgaria,2019,1
Ciencias Agrícolas,Bulgaria,2022,2
Ciencias Agrícolas,Bélgica,2014,4
Ciencias Agrícolas,Chile,1994,1
Ciencias Agrícolas,Chile,2014,1
Ciencias Agrícolas,Chile,2015,2
Ciencias Agrícolas,Chile,2016,1
Ciencias Agrícolas,Chile,2018,1
Ciencias Agrícolas,Chile,2019,3
Ciencias Agrícolas,Chile,2020,3
Ciencias Agrícolas,Chile,2021,2
Ciencias Agrícolas,Chile,2023,1
Ciencias Agrícolas,Chile,2024,1
Ciencias Agrícolas,Colombia,1970,1
Ciencias Agrícolas,Colombia,1973,1
Ciencias Agrícolas,Colombia,1974,1
Ciencias Agrícolas,Colombia,1975,2
Ciencias Agrícolas,Colombia,1976,1
Ciencias Agrícolas,Colombia,1977,1
Ciencias Agrícolas,Colombia,1982,7
Ciencias Agrícolas,Colombia,1984,3
Ciencias Agrícolas,Colombia,1985,1
Ciencias Agrícolas,Colombia,1988,3
Ciencias Agrícolas,Colombia,1989,2
Ciencias Agrícolas,Colombia,1990,3
Ciencias Agrícolas,Colombia,1991,2
Ciencias Agrícolas,Colombia,1992,6
Ciencias Agrícolas,Colombia,1993,5
Ciencias Agrícolas,Colombia,1994,5
Ciencias Agrícolas,Colombia,1995,1
Ciencias Agrícolas,Colombia,1996,10
Ciencias Agrícolas,Colombia,1997,6
Ciencias Agrícolas,Colombia,1998,15
Ciencias Agrícolas,Colombia,1999,8
Ciencias Agrícolas,Colombia,2000,20
Ciencias Agrícolas,Colombia,2001,10
Ciencias Agrícolas,Colombia,2002,21
Ciencias Agrícolas,Colombia,2003,17
Ciencias Agrícolas,Colombia,2004,27
Ciencias Agrícolas,Colombia,2005,33
Ciencias Agrícolas,Colombia,2006,33
Ciencias Agrícolas,Colombia,2007,61
Ciencias Agrícolas,Colombia,2008,90
Ciencias Agrícolas,Colombia,2009,123
Ciencias Agrícolas,Colombia,2010,133
Ciencias Agrícolas,Colombia,2011,94
Ciencias Agrícolas,Colombia,2012,137
Ciencias Agrícolas,Colombia,2013,75
Ciencias Agrícolas,Colombia,2014,118
Ciencias Agrícolas,Colombia,2015,91
Ciencias Agrícolas,Colombia,2016,123
Ciencias Agrícolas,Colombia,2017,62
Ciencias Agrícolas,Colombia,2018,69
Ciencias Agrícolas,Colombia,2019,71
Ciencias Agrícolas,Colombia,2020,69
Ciencias Agrícolas,Colombia,2021,81
Ciencias Agrícolas,Colombia,2022,58
Ciencias Agrícolas,Colombia,2023,65
Ciencias Agrícolas,Colombia,2024,31
Ciencias Agrícolas,Costa rica,1988,2
Ciencias Agrícolas,Costa rica,2003,1
Ciencias Agrícolas,Costa rica,2004,2
Ciencias Agrícolas,Costa rica,2007,1
Ciencias Agrícolas,Costa rica,2009,1
Ciencias Agrícolas,Costa rica,2013,1
Ciencias Agrícolas,Costa rica,2016,2
Ciencias Agrícolas,Costa rica,2017,1
Ciencias Agrícolas,Costa rica,2021,3
Ciencias Agrícolas,Costa rica,2022,1
Ciencias Agrícolas,Cuba,1995,1
Ciencias Agrícolas,Cuba,2011,1
Ciencias Agrícolas,Cuba,2013,1
Ciencias Agrícolas,Cuba,2014,2
Ciencias Agrícolas,Cuba,2015,1
Ciencias Agrícolas,Cuba,2020,4
Ciencias Agrícolas,Cuba,2024,2
Ciencias Agrícolas,Ecuador,2002,2
Ciencias Agrícolas,Ecuador,2004,1
Ciencias Agrícolas,Ecuador,2018,1
Ciencias Agrícolas,Ecuador,2020,1
Ciencias Agrícolas,Egipto,2012,1
Ciencias Agrícolas,Egipto,2015,1
Ciencias Agrícolas,Emiratos árabes unidos,2021,1
Ciencias Agrícolas,España,2001,1
Ciencias Agrícolas,España,2004,2
Ciencias Agrícolas,España,2008,1
Ciencias Agrícolas,España,2010,9
Ciencias Agrícolas,España,2012,1
Ciencias Agrícolas,España,2013,1
Ciencias Agrícolas,España,2015,2
Ciencias Agrícolas,España,2016,1
Ciencias Agrícolas,España,2017,3
Ciencias Agrícolas,España,2018,4
Ciencias Agrícolas,España,2020,1
Ciencias Agrícolas,España,2022,2
Ciencias Agrícolas,Estados unidos,1987,1
Ciencias Agrícolas,Estados unidos,1989,1
Ciencias Agrícolas,Estados unidos,1996,1
Ciencias Agrícolas,Estados unidos,2000,1
Ciencias Agrícolas,Estados unidos,2001,1
Ciencias Agrícolas,Estados unidos,2003,1
Ciencias Agrícolas,Estados unidos,2009,2
Ciencias Agrícolas,Estados unidos,2010,6
Ciencias Agrícolas,Estados unidos,2011,1
Ciencias Agrícolas,Estados unidos,2013,4
Ciencias Agrícolas,Estados unidos,2014,1
Ciencias Agrícolas,Estados unidos,2015,1
Ciencias Agrícolas,Estados unidos,2016,3
Ciencias Agrícolas,Estados unidos,2017,4
Ciencias Agrícolas,Estados unidos,2018,4
Ciencias Agrícolas,Estados unidos,2019,1
Ciencias Agrícolas,Estados unidos,2020,3
Ciencias Agrícolas,Estados unidos,2021,1
Ciencias Agrícolas,Estados unidos,2022,4
Ciencias Agrícolas,Estados unidos,2023,2
Ciencias Agrícolas,Estados unidos,2024,1
Ciencias Agrícolas,Francia,1993,1
Ciencias Agrícolas,Francia,1998,1
Ciencias Agrícolas,Francia,2015,1
Ciencias Agrícolas,Francia,2019,1
Ciencias Agrícolas,Francia,2021,1
Ciencias Agrícolas,India,2013,1
Ciencias Agrícolas,India,2017,2
Ciencias Agrícolas,India,2021,1
